text,label
I love this,1
This is bad,0
So good,1
I hate this,0
Very nice,1
happy,1
Terrible experience,0
tired,0
enjoy,1
Amazing product,1
Really happy with this,1
This made my day,1
Absolutely fantastic,1
I enjoyed this a lot,1
Superb quality,1
Very satisfied,1
It works perfectly,1
Best experience ever,1
I feel great,1
This is terrible,0
Really disappointed,0
Worst experience ever,0
I regret buying this,0
Not good at all,0
Very bad quality,0
I feel awful,0
This is annoying,0
Completely useless,0
I am unhappy,0
I really love how this works,1
This product exceeded my expectations,1
I am very happy with the results,1
Everything was perfect and smooth,1
I would definitely recommend this,1
This did not meet my expectations,0
I am very disappointed with this,0
Nothing works properly,0
I would not recommend this at all,0
This was a complete waste of money,0
I absolutely love this product,1
This is amazing and works perfectly,1
I am very happy with this,1
This made me feel great,1
Excellent quality and service,1
I enjoyed every moment,1
Super happy with the result,1
This is fantastic,1
I highly recommend this,1
It exceeded my expectations,1
Very good experience overall,1
I like this a lot,1
This is really nice,1
I feel satisfied,1
Everything is great,1

I absolutely hate this,0
This is terrible and useless,0
I am very disappointed,0
This made me feel bad,0
Worst quality ever,0
I regret using this,0
This is awful,0
Very bad experience,0
I do not recommend this,0
It did not meet expectations,0
This is really annoying,0
I feel unsatisfied,0
Everything is bad,0
Completely waste of money,0
This is not good at all,0

I am feeling great today,1
This makes me smile,1
I am so excited about this,1
This is wonderful news,1
I feel very positive about this,1

I feel terrible today,0
This makes me sad,0
I am frustrated with this,0
This is disappointing news,0
I feel very negative about this,0